Time,Name,Azimuth (°),Elevation (°),Slant km,x_East (m),y_North (m),z_Up (m)
2025-07-31 20:23:06,STARLINK-11490 [DTC],249.3,50.05,461.5,-277146.2,-104749.7,353772.6
2025-07-31 20:23:06,STARLINK-31485,60.2,73.38,503.9,125104.1,71637.3,482832.3
2025-07-31 20:23:06,STARLINK-31922,8.16,73.42,504.6,20449.0,142552.0,483658.2
2025-07-31 20:23:06,STARLINK-31048,147.43,69.31,506.6,96362.0,-150846.8,473909.7
2025-07-31 20:23:06,STARLINK-11391 [DTC],310.46,42.67,512.6,-286757.5,244555.5,347454.9
2025-07-31 20:23:06,STARLINK-30562,79.63,62.02,534.5,246693.6,45139.8,471970.4
2025-07-31 20:23:06,STARLINK-32500,109.81,59.91,553.9,261283.8,-94132.9,479268.8
2025-07-31 20:23:06,STARLINK-32472,105.92,56.02,575.6,309359.4,-88218.2,477317.8
2025-07-31 20:23:06,STARLINK-6152,289.08,75.97,576.8,-132105.9,45695.9,559595.6
2025-07-31 20:23:06,STARLINK-31571,8.04,53.64,591.8,49085.5,347413.2,476614.0
2025-07-31 20:23:06,STARLINK-11710 [DTC],167.24,33.11,592.2,109559.3,-483751.9,323518.9
2025-07-31 20:23:06,STARLINK-30496,70.17,69.54,595.2,195712.4,70594.0,557681.6
2025-07-31 20:23:06,STARLINK-31658,260.51,53.37,597.4,-351494.9,-58732.6,479407.6
2025-07-31 20:23:06,STARLINK-31226,342.04,51.09,610.6,-118224.9,364830.6,475107.1
2025-07-31 20:23:06,STARLINK-33546,174.39,49.79,618.8,39035.0,-397602.4,472581.7
2025-07-31 20:23:06,STARLINK-2147,214.68,57.2,641.4,-197663.7,-285692.9,539164.0
2025-07-31 20:23:06,STARLINK-32581,30.08,62.54,643.9,148818.8,256963.0,571357.9
2025-07-31 20:23:06,STARLINK-1470,1.38,53.59,646.4,9205.8,383526.4,520206.7
2025-07-31 20:23:06,STARLINK-4269,54.69,54.68,651.0,307178.2,217584.0,531168.1
2025-07-31 20:23:06,STARLINK-11353 [DTC],48.0,31.1,654.4,416388.7,374904.3,338016.7
2025-07-31 20:23:06,STARLINK-5586,327.74,55.93,665.5,-199007.9,315264.2,551306.6
2025-07-31 20:23:06,STARLINK-30842,135.33,54.04,677.9,279810.6,-283093.3,548735.2
2025-07-31 20:23:06,STARLINK-30102,203.55,52.92,686.6,-165390.5,-379489.3,547721.2
2025-07-31 20:23:06,STARLINK-30474,39.79,52.4,692.3,270375.0,324573.8,548451.4
2025-07-31 20:23:06,STARLINK-33734,303.04,41.06,695.4,-439580.3,285956.1,456757.2
2025-07-31 20:23:06,STARLINK-31455,288.74,41.4,703.3,-499593.7,169498.4,465069.1
2025-07-31 20:23:06,STARLINK-30190,52.19,42.7,704.3,408918.4,317330.2,477609.2
2025-07-31 20:23:06,STARLINK-32647,278.81,39.36,727.7,-555979.1,86164.2,461489.6
2025-07-31 20:23:06,STARLINK-32433,75.91,39.07,732.2,551386.3,138436.8,461461.2
2025-07-31 20:23:06,STARLINK-3665,225.51,44.73,739.5,-374747.3,-368186.3,520515.1
2025-07-31 20:23:06,STARLINK-5664,296.37,47.11,740.6,-451593.9,223885.0,542674.1
2025-07-31 20:23:06,STARLINK-5676,255.14,45.98,751.8,-504978.7,-133991.0,540657.1
2025-07-31 20:23:06,STARLINK-5658,46.89,44.75,767.2,397751.8,372300.3,540105.1
2025-07-31 20:23:06,STARLINK-32076,34.46,35.82,767.6,352154.4,513190.2,449178.7
2025-07-31 20:23:06,STARLINK-30439,68.07,43.81,777.8,520642.0,209561.4,538444.7
2025-07-31 20:23:06,STARLINK-3044,158.86,41.43,779.0,210620.4,-544806.2,515445.6
2025-07-31 20:23:06,STARLINK-2498,326.41,42.07,783.3,-321638.0,484332.1,524849.5
2025-07-31 20:23:06,STARLINK-6163,107.07,42.37,794.9,561364.6,-172347.3,535718.3
2025-07-31 20:23:06,STARLINK-3550,342.45,40.35,796.0,-182943.5,578352.1,515403.4
2025-07-31 20:23:06,STARLINK-32533,296.76,33.71,801.3,-595192.1,300132.5,444731.2
2025-07-31 20:23:06,STARLINK-4190,290.89,39.64,805.1,-579269.3,221103.7,513592.4
2025-07-31 20:23:06,STARLINK-32037,215.28,33.18,808.3,-390680.5,-552228.8,442377.6
2025-07-31 20:23:06,STARLINK-3778,52.64,38.3,825.1,514669.0,392979.9,511322.3
2025-07-31 20:23:06,STARLINK-2536,167.73,38.09,836.4,139851.0,-643279.1,515938.9
2025-07-31 20:23:06,STARLINK-3098,99.45,37.05,842.9,663569.1,-110481.9,507900.3
